 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2019
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"270030 Arapiraca";13;0;0;25;0;38
"270040 Atalaia";1;0;0;1;0;2
"270050 Barra de Santo Antônio";0;0;0;4;0;4
"270100 Boca da Mata";0;0;0;1;0;1
"270110 Branquinha";0;0;0;0;1;1
"270130 Cajueiro";0;0;0;1;0;1
"270160 Canapi";0;0;0;1;0;1
"270200 Coité do Nóia";0;0;0;2;0;2
"270210 Colônia Leopoldina";1;0;0;6;0;7
"270230 Coruripe";1;1;2;0;0;4
"270240 Delmiro Gouveia";0;0;0;3;0;3
"270280 Flexeiras";0;0;0;2;0;2
"270300 Ibateguara";0;0;0;1;0;1
"270330 Inhapi";0;0;0;1;0;1
"270360 Japaratinga";1;0;0;0;0;1
"270400 Junqueiro";0;1;0;1;0;2
"270430 Maceió";82;14;3;305;6;410
"270440 Major Isidoro";0;0;0;2;0;2
"270450 Maragogi";2;0;1;5;0;8
"270470 Marechal Deodoro";2;1;0;6;0;9
"270480 Maribondo";0;0;0;2;0;2
"270510 Matriz de Camaragibe";0;0;0;1;0;1
"270520 Messias";0;0;0;2;0;2
"270550 Murici";2;0;0;0;0;2
"270560 Novo Lino";0;0;0;1;0;1
"270580 Olho d'Água do Casado";0;0;0;0;1;1
"270610 Ouro Branco";0;0;0;1;0;1
"270630 Palmeira dos Índios";2;0;0;3;0;5
"270644 Paripueira";0;0;0;3;1;4
"270670 Penedo";0;1;0;0;0;1
"270690 Pilar";0;0;0;7;0;7
"270730 Porto Calvo";2;0;0;4;0;6
"270740 Porto de Pedras";0;0;0;1;0;1
"270750 Porto Real do Colégio";0;0;0;1;0;1
"270760 Quebrangulo";0;2;0;1;0;3
"270770 Rio Largo";1;0;0;5;0;6
"270790 Santa Luzia do Norte";0;0;0;2;0;2
"270800 Santana do Ipanema";3;0;0;2;0;5
"270850 São Luís do Quitunde";0;0;0;1;0;1
"270860 São Miguel dos Campos";1;0;0;5;0;6
"270880 São Sebastião";0;0;0;5;0;5
"270910 Taquarana";0;0;0;3;0;3
"270915 Teotônio Vilela";1;0;0;5;0;6
"270930 União dos Palmares";2;0;0;7;0;9
"270940 Viçosa";1;0;0;1;0;2
"Total";118;20;6;430;9;583
