 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2015
Ano Notificação: 2015
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"270020 Anadia";0;0;0;0;0;0;2;0;0;0;0;0;2
"270030 Arapiraca";0;0;0;1;3;3;1;3;1;1;0;0;13
"270060 Barra de São Miguel";0;0;0;0;0;0;0;1;0;0;0;0;1
"270070 Batalha";0;0;0;0;0;0;1;0;0;0;0;0;1
"270100 Boca da Mata";0;0;0;0;0;1;0;0;1;0;0;0;2
"270140 Campo Alegre";0;0;0;0;0;0;0;1;0;0;0;0;1
"270160 Canapi";0;0;0;0;0;0;0;1;0;0;0;0;1
"270210 Colônia Leopoldina";0;0;0;0;0;0;1;0;0;0;0;0;1
"270230 Coruripe";0;0;0;0;1;3;2;0;0;0;0;0;6
"270235 Craíbas";0;0;0;0;0;1;0;0;0;0;0;0;1
"270240 Delmiro Gouveia";0;0;0;0;0;0;1;0;0;0;0;0;1
"270255 Estrela de Alagoas";0;0;0;0;0;0;1;0;0;0;0;0;1
"270280 Flexeiras";0;0;0;0;0;0;0;0;1;0;0;0;1
"270300 Ibateguara";0;0;0;0;0;0;1;0;0;0;0;0;1
"270310 Igaci";0;0;0;0;0;0;2;1;0;0;0;0;3
"270330 Inhapi";0;0;0;0;0;0;1;0;0;0;0;0;1
"270360 Japaratinga";0;0;0;0;0;0;1;0;0;0;0;0;1
"270375 Jequiá da Praia";0;0;0;0;0;2;0;0;0;0;0;0;2
"270380 Joaquim Gomes";0;0;0;0;0;3;0;1;0;0;0;0;4
"270400 Junqueiro";0;0;0;0;0;1;1;0;1;0;0;0;3
"270420 Limoeiro de Anadia";0;0;0;0;0;1;0;0;0;0;0;0;1
"270430 Maceió";5;4;1;1;8;79;116;77;35;6;2;1;335
"270450 Maragogi";0;0;0;0;0;1;0;1;0;0;0;0;2
"270460 Maravilha";0;0;0;0;0;1;0;0;0;0;0;0;1
"270470 Marechal Deodoro";0;0;0;0;1;0;1;0;2;0;0;0;4
"270480 Maribondo";0;0;0;0;0;0;1;0;0;0;0;0;1
"270510 Matriz de Camaragibe";0;0;0;0;1;1;3;1;0;0;0;0;6
"270520 Messias";0;0;0;0;0;0;1;0;0;0;0;0;1
"270550 Murici";0;0;0;0;1;1;1;1;2;1;0;0;7
"270630 Palmeira dos Índios";0;0;0;0;0;1;1;2;0;1;0;0;5
"270640 Pão de Açúcar";0;0;0;0;0;0;1;1;0;0;0;0;2
"270644 Paripueira";0;0;0;0;0;1;0;0;0;0;0;0;1
"270650 Passo de Camaragibe";0;0;0;0;0;1;0;1;1;0;0;0;3
"270670 Penedo";0;0;0;0;1;0;2;0;1;0;0;0;4
"270680 Piaçabuçu";0;0;0;0;0;0;0;1;0;0;0;0;1
"270730 Porto Calvo";0;0;0;0;0;0;1;0;1;0;0;0;2
"270770 Rio Largo";1;0;0;0;0;3;1;1;0;0;0;0;6
"270800 Santana do Ipanema";0;0;0;0;0;2;0;0;0;0;0;0;2
"270810 Santana do Mundaú";0;0;0;0;0;0;1;0;0;0;0;0;1
"270840 São José da Tapera";0;0;0;0;0;1;0;0;0;0;0;0;1
"270850 São Luís do Quitunde";0;0;0;0;0;0;0;2;0;0;0;0;2
"270860 São Miguel dos Campos";0;0;0;0;0;0;0;0;0;1;0;0;1
"270880 São Sebastião";0;0;0;0;1;0;0;0;0;0;0;0;1
"270890 Satuba";0;0;0;0;1;0;0;0;0;0;0;0;1
"270915 Teotônio Vilela";0;0;0;0;0;1;0;0;1;0;0;0;2
"270920 Traipu";0;0;0;0;0;0;1;0;0;0;0;0;1
"270930 União dos Palmares";0;0;0;0;0;0;1;0;1;0;1;0;3
"270940 Viçosa";0;0;0;0;0;0;1;0;0;0;0;0;1
"Total";6;4;1;2;18;108;148;96;48;10;3;1;445
