 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2015
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"170070 Alvorada";0;0;0;2;0;2
"170100 Ananás";0;0;0;1;0;1
"170210 Araguaína";11;5;1;63;0;80
"170220 Araguatins";0;0;0;4;0;4
"170230 Arapoema";0;1;0;2;0;3
"170255 Augustinópolis";0;0;0;1;0;1
"170290 Axixá do Tocantins";0;0;0;2;0;2
"170370 Brejinho de Nazaré";0;0;0;1;0;1
"170550 Colinas do Tocantins";0;0;0;1;0;1
"170600 Couto de Magalhães";0;0;0;1;0;1
"170610 Cristalândia";0;0;0;1;0;1
"170720 Dois Irmãos do Tocantins";1;0;0;0;0;1
"170740 Esperantina";0;0;0;2;0;2
"170770 Filadélfia";1;0;0;0;0;1
"170900 Goiatins";0;0;0;1;0;1
"170930 Guaraí";0;0;0;1;0;1
"170950 Gurupi";6;0;0;18;0;24
"171250 Marianópolis do Tocantins";0;0;1;0;0;1
"171420 Natividade";0;0;0;1;0;1
"172100 Palmas";14;8;0;46;0;68
"171610 Paraíso do Tocantins";2;0;1;11;0;14
"171650 Pedro Afonso";0;0;0;1;0;1
"171660 Peixe";0;0;0;1;0;1
"171750 Pium";0;0;0;1;0;1
"171820 Porto Nacional";0;0;0;7;0;7
"171845 Pugmil";0;0;0;1;0;1
"171855 Riachinho";0;0;0;1;0;1
"171875 Rio Sono";0;0;0;1;0;1
"172010 São Bento do Tocantins";0;0;0;0;1;1
"172020 São Miguel do Tocantins";0;0;0;1;0;1
"172030 São Sebastião do Tocantins";0;0;0;1;0;1
"172080 Sítio Novo do Tocantins";0;0;0;1;0;1
"Total";35;14;3;175;1;228
