 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Sergipe
Período:2024
"Município (Res)";"2024";"Total"
"280020 Aquidabã";1;1
"280030 Aracaju";252;252
"280040 Arauá";1;1
"280060 Barra dos Coqueiros";3;3
"280067 Boquim";5;5
"280100 Campo do Brito";1;1
"280110 Canhoba";1;1
"280120 Canindé de São Francisco";6;6
"280130 Capela";4;4
"280140 Carira";1;1
"280170 Cristinápolis";1;1
"280210 Estância";5;5
"280240 Gararu";1;1
"280290 Itabaiana";6;6
"280300 Itabaianinha";2;2
"280320 Itaporanga d'Ajuda";1;1
"280330 Japaratuba";1;1
"280340 Japoatã";2;2
"280350 Lagarto";5;5
"280360 Laranjeiras";1;1
"280390 Malhador";1;1
"280400 Maruim";1;1
"280440 Neópolis";1;1
"280450 Nossa Senhora da Glória";3;3
"280460 Nossa Senhora das Dores";3;3
"280470 Nossa Senhora de Lourdes";1;1
"280480 Nossa Senhora do Socorro";8;8
"280510 Pedrinhas";1;1
"280540 Poço Redondo";3;3
"280560 Porto da Folha";2;2
"280570 Propriá";2;2
"280580 Riachão do Dantas";4;4
"280590 Riachuelo";2;2
"280600 Ribeirópolis";1;1
"280620 Salgado";1;1
"280660 Santo Amaro das Brotas";1;1
"280670 São Cristóvão";7;7
"280720 Siriri";2;2
"280740 Tobias Barreto";2;2
"Total";346;346
