 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Sergipe
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"280020 Aquidabã";1;0;0;0;0;1
"280030 Aracaju";40;23;6;181;2;252
"280040 Arauá";0;0;0;1;0;1
"280060 Barra dos Coqueiros";1;1;0;1;0;3
"280067 Boquim";0;1;0;4;0;5
"280100 Campo do Brito";0;0;0;1;0;1
"280110 Canhoba";0;0;0;1;0;1
"280120 Canindé de São Francisco";1;0;0;5;0;6
"280130 Capela";0;0;0;4;0;4
"280140 Carira";0;0;0;1;0;1
"280170 Cristinápolis";0;0;0;1;0;1
"280210 Estância";0;0;0;5;0;5
"280240 Gararu";0;0;0;1;0;1
"280290 Itabaiana";3;0;0;3;0;6
"280300 Itabaianinha";0;0;1;1;0;2
"280320 Itaporanga d'Ajuda";0;0;0;1;0;1
"280330 Japaratuba";0;1;0;0;0;1
"280340 Japoatã";0;0;0;2;0;2
"280350 Lagarto";1;0;0;4;0;5
"280360 Laranjeiras";0;0;0;1;0;1
"280390 Malhador";0;0;0;1;0;1
"280400 Maruim";0;0;0;1;0;1
"280440 Neópolis";0;0;0;1;0;1
"280450 Nossa Senhora da Glória";0;0;0;3;0;3
"280460 Nossa Senhora das Dores";1;0;0;2;0;3
"280470 Nossa Senhora de Lourdes";0;0;0;1;0;1
"280480 Nossa Senhora do Socorro";1;0;0;7;0;8
"280510 Pedrinhas";0;0;0;1;0;1
"280540 Poço Redondo";0;0;0;3;0;3
"280560 Porto da Folha";1;0;0;1;0;2
"280570 Propriá";1;1;0;0;0;2
"280580 Riachão do Dantas";1;0;0;3;0;4
"280590 Riachuelo";0;0;0;2;0;2
"280600 Ribeirópolis";0;0;0;1;0;1
"280620 Salgado";0;0;0;1;0;1
"280660 Santo Amaro das Brotas";0;0;0;1;0;1
"280670 São Cristóvão";2;0;0;5;0;7
"280720 Siriri";0;0;0;2;0;2
"280740 Tobias Barreto";0;0;0;2;0;2
"Total";54;27;7;256;2;346
