 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio Grande do Norte
Período:2024
"Município (Res)";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"240010 Acari";0;0;0;0;1;1;0;0;2
"240020 Açu";0;0;2;3;1;1;0;0;7
"240060 Almino Afonso";0;0;0;1;0;0;0;0;1
"240070 Alto do Rodrigues";0;0;0;1;0;0;0;1;2
"240080 Angicos";0;0;0;0;1;0;2;0;3
"240090 Antônio Martins";0;0;0;1;0;0;0;0;1
"240100 Apodi";0;0;0;0;1;0;2;0;3
"240110 Areia Branca";0;0;1;1;0;0;0;0;2
"240145 Baraúna";0;0;2;0;2;0;1;0;5
"240170 Bom Jesus";0;0;0;0;1;0;0;0;1
"240180 Brejinho";0;0;0;1;1;0;0;0;2
"240200 Caicó";0;1;2;5;4;1;2;0;15
"240210 Campo Redondo";0;0;0;0;1;0;0;0;1
"240220 Canguaretama";0;0;1;1;0;0;0;0;2
"240230 Caraúbas";0;0;1;0;0;0;0;0;1
"240260 Ceará-Mirim";0;0;1;0;1;2;2;0;6
"240290 Coronel João Pessoa";0;0;0;1;0;0;0;0;1
"240310 Currais Novos";0;0;1;1;0;0;0;0;2
"240320 Doutor Severiano";0;0;1;0;0;0;0;0;1
"240330 Encanto";0;0;0;0;1;0;0;0;1
"240350 Espírito Santo";0;0;0;0;1;0;0;0;1
"240360 Extremoz";0;0;1;4;1;1;1;0;8
"240420 Goianinha";0;0;0;1;0;1;0;0;2
"240440 Grossos";0;0;1;0;0;0;0;0;1
"240450 Guamaré";0;0;0;1;0;0;1;0;2
"240470 Ipanguaçu";0;0;0;1;0;0;0;0;1
"240485 Itajá";0;0;0;1;0;0;0;0;1
"240490 Itaú";0;0;0;1;0;0;0;0;1
"240560 Jardim de Piranhas";0;0;0;0;0;1;0;0;1
"240620 Lagoa d'Anta";0;0;0;1;0;0;0;0;1
"240630 Lagoa de Pedras";0;0;0;0;0;1;0;0;1
"240640 Lagoa de Velhos";0;0;1;0;0;0;0;0;1
"240670 Lajes";0;0;1;0;0;0;0;0;1
"240690 Lucrécia";0;0;0;1;0;0;0;0;1
"240710 Macaíba";0;0;4;5;1;1;0;0;11
"240720 Macau";0;0;0;1;0;1;0;0;2
"240725 Major Sales";0;0;0;0;1;0;0;0;1
"240740 Martins";0;0;0;1;0;0;0;0;1
"240790 Monte das Gameleiras";0;0;0;1;0;0;0;0;1
"240800 Mossoró";0;3;27;43;18;15;5;1;112
"240810 Natal";1;4;64;79;59;32;18;2;259
"240820 Nísia Floresta";0;0;0;1;1;0;0;0;2
"240840 Olho-d'Água do Borges";0;0;0;0;0;1;0;0;1
"240860 Paraná";0;0;1;0;0;0;0;0;1
"240325 Parnamirim";0;0;5;10;3;2;0;0;20
"240930 Patu";0;0;1;0;0;0;0;0;1
"240940 Pau dos Ferros";0;0;2;1;2;2;0;0;7
"240980 Pedro Velho";0;0;0;1;0;2;0;0;3
"240990 Pendências";0;0;1;2;2;0;0;0;5
"241020 Portalegre";0;0;0;1;0;0;0;0;1
"241030 Presidente Juscelino";0;0;0;0;0;1;0;0;1
"241050 Rafael Fernandes";0;0;1;1;0;0;0;0;2
"240895 Rio do Fogo";0;0;1;0;0;0;0;0;1
"241100 Rodolfo Fernandes";0;0;0;1;0;0;0;0;1
"241120 Santa Cruz";0;1;0;1;0;2;0;0;4
"241200 São Gonçalo do Amarante";0;0;3;11;2;4;0;0;20
"241220 São José de Mipibu";0;0;4;10;1;2;0;0;17
"241250 São Miguel";0;0;0;1;0;0;0;0;1
"241260 São Paulo do Potengi";0;0;0;2;0;1;1;0;4
"241280 São Rafael";0;0;0;1;0;0;0;0;1
"241320 Senador Georgino Avelino";0;0;0;0;1;0;0;0;1
"241330 Serra de São Bento";0;0;1;0;0;0;0;0;1
"241335 Serra do Mel";0;0;0;0;1;1;0;0;2
"241400 Tangará";0;0;0;1;1;0;0;0;2
"241420 Tibau do Sul";0;2;1;1;0;0;0;0;4
"241460 Upanema";0;0;0;1;0;0;0;0;1
"241470 Várzea";0;0;0;1;0;0;0;0;1
"241475 Venha-Ver";0;0;0;0;1;0;0;0;1
"241480 Vera Cruz";0;0;0;0;1;0;0;0;1
"Total";1;11;132;205;112;76;35;4;576
