 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rio Grande do Norte
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"240010 Acari";0;0;0;1;0;0;1
"240020 Açu";1;0;0;4;0;0;5
"240070 Alto do Rodrigues";0;0;0;2;0;1;3
"240080 Angicos";0;0;0;2;0;0;2
"240100 Apodi";1;0;0;1;0;0;2
"240110 Areia Branca";0;0;0;3;0;0;3
"240145 Baraúna";1;0;0;0;0;0;1
"240170 Bom Jesus";0;0;0;2;0;0;2
"240185 Caiçara do Norte";0;0;0;1;0;0;1
"240200 Caicó";3;0;0;2;0;0;5
"240220 Canguaretama";2;1;0;3;0;0;6
"240260 Ceará-Mirim";2;1;0;4;0;0;7
"240310 Currais Novos";1;0;0;2;0;0;3
"240320 Doutor Severiano";0;0;0;1;0;0;1
"240330 Encanto";0;0;0;1;0;0;1
"240340 Equador";0;0;0;1;0;0;1
"240350 Espírito Santo";1;0;0;0;0;0;1
"240360 Extremoz";3;0;0;4;0;0;7
"240440 Grossos";0;1;0;0;0;0;1
"240450 Guamaré";1;0;0;2;0;0;3
"240470 Ipanguaçu";0;0;0;1;0;0;1
"240560 Jardim de Piranhas";0;0;0;1;0;0;1
"240580 João Câmara";0;0;0;1;0;0;1
"240660 Lagoa Salgada";1;0;0;0;0;0;1
"240710 Macaíba";4;2;1;6;0;0;13
"240720 Macau";2;0;0;1;0;0;3
"240760 Messias Targino";1;0;0;0;0;0;1
"240800 Mossoró";18;3;0;41;0;2;64
"240810 Natal";81;4;2;215;2;5;309
"240820 Nísia Floresta";2;0;0;4;0;0;6
"240830 Nova Cruz";1;0;0;1;0;0;2
"240880 Parazinho";0;0;0;2;0;0;2
"240325 Parnamirim";18;5;1;24;0;0;48
"240910 Passa e Fica";1;0;0;1;0;0;2
"240930 Patu";1;0;0;0;0;0;1
"240940 Pau dos Ferros";1;0;0;2;0;0;3
"240970 Pedro Avelino";0;0;0;1;0;0;1
"240980 Pedro Velho";1;0;0;0;0;0;1
"241020 Portalegre";1;0;0;0;0;0;1
"241025 Porto do Mangue";0;0;0;2;0;0;2
"241040 Pureza";0;0;0;1;0;0;1
"241080 Riacho de Santana";0;0;0;1;0;0;1
"241090 Riachuelo";0;0;0;1;0;0;1
"240895 Rio do Fogo";0;0;0;3;0;0;3
"241100 Rodolfo Fernandes";0;0;0;3;0;0;3
"241120 Santa Cruz";0;0;0;3;0;0;3
"241160 São Bento do Norte";0;0;0;1;0;0;1
"241200 São Gonçalo do Amarante";4;1;1;8;0;0;14
"241220 São José de Mipibu";2;1;0;10;0;3;16
"241230 São José do Campestre";0;0;0;1;0;0;1
"241255 São Miguel do Gostoso";0;0;0;1;0;0;1
"241280 São Rafael";0;0;0;1;0;0;1
"241290 São Tomé";0;0;0;1;0;0;1
"241320 Senador Georgino Avelino";0;0;0;1;0;0;1
"241335 Serra do Mel";1;0;0;0;0;0;1
"241380 Taboleiro Grande";0;0;0;1;0;0;1
"241400 Tangará";0;0;0;2;0;0;2
"241105 Tibau";0;0;0;1;0;0;1
"241420 Tibau do Sul";0;0;0;1;0;0;1
"241440 Touros";1;0;0;2;0;0;3
"241500 Vila Flor";0;0;0;1;0;0;1
"Total";157;19;5;383;2;11;577
