 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Piauí
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"220020 Água Branca";1;2;3
"220030 Alto Longá";1;1;2
"220040 Altos";7;0;7
"220050 Amarante";1;0;1
"220120 Barras";1;0;1
"220140 Barro Duro";1;0;1
"220160 Beneditinos";1;0;1
"220196 Brasileira";1;1;2
"220200 Buriti dos Lopes";0;1;1
"220205 Cabeceiras do Piauí";0;1;1
"220208 Cajueiro da Praia";1;0;1
"220220 Campo Maior";2;1;3
"220250 Caracol";0;1;1
"220260 Castelo do Piauí";1;1;2
"220273 Coivaras";0;1;1
"220350 Elesbão Veloso";2;1;3
"220370 Esperantina";5;0;5
"220390 Floriano";7;4;11
"220470 Inhuma";1;0;1
"220520 Jaicós";1;0;1
"220527 Jatobá do Piauí";0;1;1
"220550 José de Freitas";4;3;7
"220551 Juazeiro do Piauí";0;1;1
"220570 Luís Correia";2;1;3
"220580 Luzilândia";0;4;4
"220595 Marcolândia";0;1;1
"220620 Miguel Alves";0;2;2
"220670 Nazaré do Piauí";1;0;1
"220700 Oeiras";4;4;8
"220770 Parnaíba";28;13;41
"220780 Paulistana";1;0;1
"220790 Pedro II";3;0;3
"220800 Picos";12;8;20
"220820 Pio IX";1;0;1
"220830 Piracuruca";1;0;1
"220840 Piripiri";14;4;18
"220880 Regeneração";3;0;3
"220910 Santa Cruz do Piauí";0;1;1
"220955 São Braz do Piauí";1;0;1
"220985 São João da Canabrava";1;0;1
"220990 São João da Serra";0;1;1
"220997 São João do Arraial";1;0;1
"221010 São José do Peixe";1;0;1
"221038 São Miguel da Baixa Grande";0;1;1
"221040 São Miguel do Tapuio";1;1;2
"221050 São Pedro do Piauí";1;0;1
"221060 São Raimundo Nonato";2;1;3
"221080 Simplício Mendes";1;1;2
"221100 Teresina";179;82;261
"221110 União";4;0;4
"221120 Uruçuí";1;0;1
"221130 Valença do Piauí";1;0;1
"Total";302;145;447
