 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Goiás
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"520010 Abadiânia";1;0;0;0;0;0;1
"520013 Acreúna";0;0;0;4;0;0;4
"520025 Águas Lindas de Goiás";0;0;0;5;0;0;5
"520030 Alexânia";0;0;0;1;0;0;1
"520080 Alvorada do Norte";1;0;0;0;0;0;1
"520090 Amorinópolis";0;0;0;1;0;0;1
"520110 Anápolis";19;3;1;59;0;0;82
"520130 Anicuns";1;1;0;0;0;0;2
"520140 Aparecida de Goiânia";23;10;7;48;0;0;88
"520150 Aporé";2;0;1;2;0;0;5
"520160 Araçu";1;0;0;0;0;0;1
"520170 Aragarças";1;1;1;1;0;0;4
"520235 Arenópolis";0;0;0;1;0;0;1
"520250 Aruanã";1;1;0;0;0;0;2
"520330 Bela Vista de Goiás";1;0;0;0;0;0;1
"520360 Brazabrantes";0;0;0;1;0;0;1
"520390 Buriti Alegre";0;0;0;2;0;0;2
"520440 Caiapônia";0;0;0;1;0;0;1
"520450 Caldas Novas";9;2;0;12;0;0;23
"520455 Caldazinha";0;0;0;1;0;0;1
"520460 Campestre de Goiás";0;0;0;1;0;0;1
"520485 Campo Limpo de Goiás";0;0;0;1;0;0;1
"520490 Campos Belos";1;0;0;1;0;0;2
"520495 Campos Verdes";1;0;0;0;0;0;1
"520510 Catalão";8;0;0;14;0;0;22
"520530 Cavalcante";0;0;0;1;0;0;1
"520540 Ceres";0;1;0;0;0;0;1
"520545 Cezarina";0;0;0;1;0;0;1
"520547 Chapadão do Céu";1;0;0;1;0;0;2
"520549 Cidade Ocidental";3;1;0;6;0;0;10
"520570 Córrego do Ouro";1;0;0;0;0;0;1
"520590 Corumbaíba";0;0;0;0;1;0;1
"520620 Cristalina";4;0;0;4;0;0;8
"520630 Cristianópolis";1;0;0;0;0;0;1
"520640 Crixás";0;1;0;0;0;0;1
"520735 Edealina";1;0;0;0;0;0;1
"520800 Formosa";2;0;0;4;0;0;6
"520840 Goianápolis";0;0;0;1;0;0;1
"520850 Goiandira";0;0;0;1;0;0;1
"520860 Goianésia";1;0;0;2;0;0;3
"520870 Goiânia";180;16;10;229;0;8;443
"520880 Goianira";6;0;0;4;0;0;10
"520890 Goiás";0;0;0;1;0;0;1
"520910 Goiatuba";1;1;0;1;0;0;3
"520920 Guapó";0;0;0;3;0;0;3
"520970 Hidrolândia";1;0;0;2;0;0;3
"520993 Inaciolândia";0;0;0;1;0;0;1
"520995 Indiara";1;0;0;2;0;0;3
"521000 Inhumas";4;0;0;6;0;0;10
"521010 Ipameri";0;1;0;0;0;0;1
"521020 Iporá";3;0;0;6;0;0;9
"521030 Israelândia";0;1;0;0;0;0;1
"521040 Itaberaí";3;0;0;0;0;1;4
"521090 Itapaci";2;0;0;3;0;0;5
"521120 Itapuranga";1;0;0;1;0;0;2
"521150 Itumbiara";21;3;0;6;0;0;30
"521180 Jaraguá";0;0;0;2;0;0;2
"521190 Jataí";7;0;0;9;0;0;16
"521200 Jaupaci";0;0;0;1;0;0;1
"521220 Jussara";0;0;0;1;0;0;1
"521250 Luziânia";4;1;1;12;0;0;18
"521295 Matrinchã";1;0;0;1;0;0;2
"521300 Maurilândia";1;0;0;0;0;0;1
"521308 Minaçu";0;0;1;3;0;0;4
"521310 Mineiros";2;0;0;3;0;0;5
"521377 Montividiu do Norte";0;0;0;1;0;0;1
"521380 Morrinhos";1;0;0;0;0;0;1
"521390 Mossâmedes";1;0;0;0;0;0;1
"521405 Mundo Novo";1;0;0;0;0;0;1
"521450 Nerópolis";0;0;0;3;0;0;3
"521483 Nova Crixás";0;0;0;1;0;0;1
"521523 Novo Gama";2;1;0;2;0;0;5
"521530 Orizona";0;0;0;1;0;0;1
"521540 Ouro Verde de Goiás";0;0;1;0;0;0;1
"521560 Padre Bernardo";0;0;0;1;0;0;1
"521570 Palmeiras de Goiás";0;1;0;4;0;0;5
"521640 Paraúna";0;0;0;1;0;0;1
"521680 Petrolina de Goiás";0;0;0;1;0;0;1
"521720 Piranhas";1;0;1;1;0;0;3
"521730 Pirenópolis";1;0;0;2;0;0;3
"521760 Planaltina";1;0;0;3;0;0;4
"521770 Pontalina";1;0;0;1;0;0;2
"521800 Porangatu";1;0;0;1;0;0;2
"521830 Posse";0;0;1;1;0;0;2
"521839 Professor Jamil";0;0;0;1;0;0;1
"521850 Quirinópolis";2;0;0;0;0;0;2
"521860 Rialma";0;0;0;1;0;0;1
"521880 Rio Verde";22;4;1;41;1;0;69
"521890 Rubiataba";0;0;0;2;0;0;2
"521925 Santa Fé de Goiás";1;0;0;0;0;0;1
"521930 Santa Helena de Goiás";0;0;0;1;0;0;1
"521940 Santa Rita do Araguaia";0;1;0;0;0;0;1
"521970 Santa Terezinha de Goiás";0;0;0;3;0;0;3
"521973 Santo Antônio de Goiás";0;0;0;1;0;0;1
"521975 Santo Antônio do Descoberto";2;0;0;5;0;0;7
"521980 São Domingos";0;0;0;1;0;0;1
"522010 São Luís de Montes Belos";2;0;1;2;0;0;5
"522015 São Luíz do Norte";1;0;0;0;0;0;1
"522020 São Miguel do Araguaia";0;1;0;1;0;0;2
"522040 São Simão";1;0;0;2;0;0;3
"522045 Senador Canedo";1;1;1;5;0;0;8
"522050 Serranópolis";0;0;0;2;0;0;2
"522060 Silvânia";0;0;0;1;0;0;1
"522140 Trindade";6;0;1;13;0;0;20
"522160 Uruaçu";4;3;0;5;0;0;12
"522170 Uruana";0;0;0;1;0;0;1
"522185 Valparaíso de Goiás";4;0;0;6;0;0;10
"522205 Vicentinópolis";1;0;1;0;0;0;2
"520000 Município ignorado - GO";1;0;0;2;0;0;3
"Total";380;56;30;594;2;9;1071
